twitter_user_id,friend_degree_avg,friend_degree_max,friend_degree_min,friend_degree_var,follower_degree_avg,follower_degree_max,follower_degree_min,follower_degree_var
2323710210,2690.582498,1286699,0,837146407.7,5716.35599,4968471,0,7124962722
40297217,4235.993575,1458781,0,1962363492,11530.83531,4347800,0,14179028061
566536507,4928.480567,1292443,0,2193029658,6438.490011,2036983,0,3710997079
2909746599,7747.494924,1834866,0,4020167075,11056.54759,2695860,0,10229152527
269727431,7473.068548,1909165,0,7417022785,12984.32124,4362347,0,31551164624
2863801762,6633.254098,1286699,9,4624325899,10138.9918,2036981,1,11705736965
82093305,2221.797599,1223841,0,264873563.7,4826.450002,4968687,0,3483346167
3092618146,10295.73529,1286747,0,9782943330,16427.79412,2036973,2,24863299114
2912985754,2769.98917,143802,35,88422148.29,5617.205776,472730,2,1150009259
77808680,2822.563192,1286747,0,527318406.6,6396.683327,5716602,0,7139400506
257653019,8439.012579,1286741,0,5541032612,12234.48428,2036961,4,13712328988
18760041,5051.09797,1286741,0,2771051160,12138.59665,6301303,0,40251679304
43312141,2594.191354,808961,0,295486685.1,5154.606964,2331640,0,3220638086
84563846,2322.448682,1921977,0,582619316.3,4787.710919,4969096,0,4888579542
65383450,1318.973684,5189,1,1757780.447,2129.342105,36083,0,34108639.44
20041276,5736.887506,1286804,0,1985279400,9839.777778,2036945,0,5806875039
20306686,16449.70492,1286804,2,9793849700,23658.95738,2036945,0,19887967642
80968760,3268.597158,3105686,0,1721911883,6997.021233,4969223,0,9869555572
21111483,4129.674419,3105638,0,2654215133,26448.95486,93942780,0,1.52E+12
2983891405,3517.178703,1286799,0,1239518778,4554.277819,2037007,0,2348161895
23777452,5565.516995,1286794,1,3297022571,12309.23614,2037004,0,10171667688
2841826715,3173.905051,1459359,0,1059847738,4741.85133,2332165,0,3564541253
112761860,3498.212685,1408279,0,1082665367,7061.063136,1781717,0,4502294497
2187308145,9461.492958,1286794,35,7773384570,15052.0892,2037005,5,19762140176
22804395,1785.354839,40240,1,14129530.62,2668.503226,68064,0,74582454.52
2204660084,4012.304608,1286794,0,1776561208,12697.08079,4969522,0,24722131521
1227716558,3648.7001,808939,0,758977887,7712.771076,2332191,0,5845059399
3012159189,3448.595238,1286794,0,922248243.1,6084.525641,2037004,0,3009004838
150003582,2578.6,5238,96,4946092.64,9238,36082,35,192765281.2
608508170,7092.462687,1286794,1,3765840161,10835.41978,2037007,0,9161910295
714049944,5866.919463,1286794,10,3822487045,8961.642058,2037007,0,9633510586
815306454,3247.575515,1050567,0,495165810.7,6281.697876,4969573,0,4502947915
241841666,17689.41076,1286786,14,8624251849,22971.82396,2036993,0,16536048153
986390774,2212.200533,1050561,0,299841859.3,6598.93118,7350321,0,8657925390
1551071150,5344.310223,1459607,7,4538075004,7265.958872,2036991,0,7567301478
2704774585,16045.64672,1707413,4,14967214250,25649.78917,3239095,1,43970060828
1216506050,2229.956244,327103,0,223503904.3,3676.401094,452164,0,486250631.5
2432641802,1920.178182,96378,11,36739911.19,3075.912727,279916,16,355999073.3
